listings.id,listings.host_id,listings.property_type,listings.room_type,listings.accommodates,listings.price,listings.security_deposit,listings.cleaning_fee,listings.guests_included,listings.extra_people,listings.minimum_nights,listings.availability_365,listings.cancellation_policy,listings.neighborhood_id
18307902,126626690,P1,R1,2,89,100,20,1,0,1,18,C1,122
6881079,1681963,P8,R2,2,75,200,25,1,25,2,322,C1,122
9813148,5430630,P1,R2,2,65,200,50,2,25,2,364,C2,122
484898,2400107,P3,R1,6,225,100,100,4,20,3,29,C1,122
17448734,118108330,P5,R1,4,65,100,25,1,0,1,270,C1,122
1565607,33004,P1,R1,4,225,400,150,1,0,30,357,C1,120
3944822,16396473,P1,R1,2,90,250,40,1,0,2,266,C2,120
16392471,12243051,P1,R1,4,189,400,109,1,0,2,88,C1,120
15037085,12243051,P1,R1,4,109,400,109,1,0,2,100,C1,120
18196542,31113244,P24,R2,2,71,300,75,2,50,2,142,C1,120
11209152,16680094,P1,R1,16,599,250,220,12,12,3,188,C1,120
17482333,5268780,P3,R1,10,149,500,129,8,30,2,308,C1,120
5977874,16864162,P1,R1,6,99,250,75,2,25,2,308,C1,120
14144295,41767444,P1,R1,4,149,450,50,4,20,2,277,C1,120
1332249,4392069,P3,R2,2,170,200,40,1,0,1,347,C1,120
6229085,4070322,P8,R1,8,499,250,125,6,25,1,279,C1,120
7482058,39182446,P5,R1,8,109,500,99,2,40,1,326,C1,120
15395539,1474170,P1,R2,2,50,100,40,1,0,2,97,C3,120
629745,2445249,P8,R1,5,129,200,25,2,20,2,43,C2,120
1183072,1413751,P8,R2,2,85,100,40,2,50,1,259,C2,120
824518,2655877,P1,R1,4,144,750,100,2,10,30,247,C1,120
5974083,7019879,P6,R2,2,142,250,45,2,25,2,339,C1,120
2496069,2995486,P1,R2,2,100,500,100,6,100,1,365,C1,120
2268034,2995486,P1,R1,7,455,500,120,4,20,1,358,C1,120
422214,1802802,P5,R1,16,250,250,150,8,25,2,289,C1,120
2396340,5228189,P1,R1,8,339,998,95,4,50,1,337,C2,120
6423299,5228189,P8,R1,8,339,998,95,4,50,1,341,C2,120
4743282,2575229,P1,R2,2,125,250,45,2,25,1,345,C2,120
13360060,28811986,P1,R1,5,219,700,80,5,0,2,146,C1,120
13642240,28811986,P1,R1,5,175,400,120,5,30,2,98,C1,120
628149,2885441,P1,R2,2,65,100,20,1,20,1,294,C1,120
1524276,5721289,P3,R2,2,75,100,25,1,10,2,313,C1,120
1524306,5721289,P3,R1,4,250,100,50,4,50,4,324,C1,120
7530470,39462823,P3,R2,3,90,250,20,2,10,2,162,C2,120
8090232,39462823,P3,R2,3,60,250,20,1,10,2,102,C2,120
2176509,11101020,P1,R1,6,299,500,80,2,0,1,355,C2,120
13839781,13904021,P3,R1,12,350,500,125,1,0,2,331,C1,120
12950970,10613587,P1,R2,2,88,200,30,2,20,3,137,C1,120
15911102,103220942,P1,R1,5,135,500,48,4,15,2,115,C1,120
10968314,3531690,P1,R2,2,60,100,20,1,10,2,0,C2,120
1890388,4316625,P1,R1,3,99,199,39,1,0,90,329,C2,120
5545645,28681150,P3,R1,6,99,349,85,2,13,1,167,C1,120
15552297,6341314,P1,R1,8,275,495,125,4,45,2,173,C1,120
3554585,1600654,P1,R2,2,89,250,15,1,20,1,365,C1,120
3532148,1600654,P1,R1,6,179,500,75,4,10,1,338,C1,120
14789011,935002,P1,R1,4,95,300,50,2,10,2,17,C2,120
10086315,49403044,P3,R1,6,175,150,59,4,20,2,338,C1,120
17028678,49403044,P3,R1,10,650,500,135,10,25,2,310,C1,120
12623279,10837582,P3,R1,4,99,500,100,2,20,2,188,C1,120
15162368,25167470,P1,R2,2,65,100,15,2,15,1,98,C1,120
15143708,25167470,P1,R2,2,65,100,15,2,15,1,90,C1,120
